PLAYER,WIN,GAME,WIN_PROB
Connors_Jimmy,1184,1461,0.8104
Lendl_Ivan,997,1214,0.8213
Federer_Roger,920,1129,0.8149
Vilas_Guillermo,847,1108,0.7644
McEnroe_John,804,982,0.8187
Agassi_Andre,788,1034,0.7621
Edberg_Stefan,711,938,0.758
Nastase_Ilie,708,1005,0.7045
Sampras_Pete,685,876,0.782
Nadal_Rafael,679,809,0.8393
Gottfried_Brian,638,941,0.678
Smith_Stan,626,888,0.705
Becker_Boris,619,819,0.7558
Ashe_Arthur,612,824,0.7427
Chang_Michael,605,892,0.6783
Orantes_Manuel,603,834,0.723
Roddick_Andy,572,759,0.7536
Tanner_Roscoe,568,836,0.6794
Ferrer_David,567,844,0.6718
Djokovic_Novak,556,680,0.8176
Dibbs_Eddie,555,793,0.6999
Borg_Bjorn,553,680,0.8132
Hewitt_Lleyton,544,772,0.7047
Muster_Thomas,535,787,0.6798
Solomon_Harold,533,822,0.6484
Ivanisevic_Goran,532,835,0.6371
Moya_Carlos,532,825,0.6448
Haas_Tommy,530,839,0.6317
Okker_Tom,526,771,0.6822
Kafelnikov_Yevgeny,517,772,0.6697
Fibak_Wojtek,514,811,0.6338
Wilander_Mats,508,693,0.733
Ramirez_Raul,505,736,0.6861
Alexander_John,503,866,0.5808
Gilbert_Brad,498,765,0.651
Gomez_Andres,497,749,0.6636
Gerulaitis_Vitas,496,713,0.6957
Robredo_Tommy,493,803,0.6139
Smid_Tomas,486,796,0.6106
Henman_Tim,459,712,0.6447
Davydenko_Nikolay,458,779,0.5879
Ferreira_Wayne,458,766,0.5979
Murray_Andy,458,601,0.7621
Ferrero_Juan_Carlos,455,703,0.6472
Courier_Jim,453,661,0.6853
Noah_Yannick,453,639,0.7089
Santoro_Fabrice,452,873,0.5178
Rosewall_Ken,448,595,0.7529
Fillol_Sr_Jaime,447,766,0.5836
Youzhny_Mikhail,439,765,0.5739
Berdych_Tomas,438,672,0.6518
Newcombe_John,434,588,0.7381
Laver_Rod,432,561,0.7701
Higueras_Jose,412,615,0.6699
Bruguera_Sergi,406,647,0.6275
Ljubicic_Ivan,402,682,0.5894
Riessen_Marty,401,666,0.6021
Corretja_Alex,395,652,0.6058
Kodes_Jan,394,626,0.6294
Sanchez_Emilio,394,650,0.6062
Verdasco_Fernando,393,668,0.5883
Rusedski_Greg,390,648,0.6019
Safin_Marat,389,630,0.6175
Gustafsson_Magnus,387,633,0.6114
Enqvist_Thomas,384,654,0.5872
Krajicek_Richard,384,580,0.6621
Teltscher_Eliot,384,584,0.6575
Rosset_Marc,379,704,0.5384
Bjorkman_Jonas,376,704,0.5341
Krickstein_Aaron,376,613,0.6134
Taroczy_Balazs,375,603,0.6219
Lutz_Robert,372,632,0.5886
Martin_Todd,371,583,0.6364
Kriek_Johan,370,585,0.6325
Korda_Petr,369,594,0.6212
Gasquet_Richard,368,586,0.628
Clavet_Francisco,365,686,0.5321
Hlasek_Jakob,364,648,0.5617
Amritraj_Vijay,363,644,0.5637
Stockton_Dick,359,597,0.6013
Lopez_Feliciano,358,681,0.5257
Pioline_Cedric,356,641,0.5554
Jarryd_Anders,355,591,0.6007
Nieminen_Jarkko,354,676,0.5237
Clerc_JoseLuis,353,483,0.7308
Nalbandian_David,352,531,0.6629
Richey_Cliff,351,555,0.6324
Dent_Phil,349,652,0.5353
Forget_Guy,346,612,0.5654
Stepanek_Radek,345,604,0.5712
Blake_James,341,573,0.5951
Kiefer_Nicolas,341,593,0.575
Leconte_Henri,341,571,0.5972
Costa_Albert,340,586,0.5802
Pecci_Sr_Victor,340,568,0.5986
Curren_Kevin,337,574,0.5871
Mayotte_Tim,336,525,0.64
Almagro_Nicolas,335,553,0.6058
Gonzalez_Fernando,335,525,0.6381
Johansson_Thomas,334,609,0.5484
Kuerten_Gustavo,333,507,0.6568
Mayer_Sandy,333,520,0.6404
Franulovic_Zeljko,332,588,0.5646
Teacher_Brian,331,564,0.5869
Gorman_Tom,330,573,0.5759
Rios_Marcelo,330,499,0.6613
Hrbaty_Dominik,328,625,0.5248
Panatta_Adriano,327,530,0.617
Simon_Gilles,326,544,0.5993
